Verein;Name;Pos;Spec;PosSpec;Age;Age group;cm;kg;BMI;BMI Zone;Apps;Rt;Tackle;I;F;OW;Clr;Drb;BS;OG;G;A;SpG;KP;Drb;F;Off;Dis;Trn;A;KP;Avg P;PS%;C;LB;TB
Dortmund;Roman Weidenfeller;GK;;GK;32;bis 35;188;85;24.04934359;normal;31;6.5;-;0.1;-;-;0.6;0.1;-;-;-;-;-;0.1;-;0.3;-;-;-;-;0.1;21.6;69.4;-;5.6;-
Frankfurt;Alexander Meier;M;C;M(C);30;bis 30;196;84;21.86588921;normal;31;7.38;1;1.4;2;-;1.8;0.5;0.1;-;16;3;2.8;0.9;0.5;0.9;0.7;1.5;1.4;3;0.9;36.6;74.6;-;3.2;0.1
Schalke;Benedikt Höwedes;D;C;D(C);25;bis 26;187;80;22.8774057;normal;32;7.14;2.4;3.2;1.2;1;4;0.8;0.5;-;-;1;0.7;0.3;0.7;1.2;-;0.4;0.4;1;0.3;50.6;84.7;0.1;3.9;-
Wolfsburg;Diego;AM;C;AM(C);28;bis 30;173;73;24.39105884;normal;32;7.86;1.7;1.1;1.5;-;0.3;1.8;0.1;-;10;7;2.1;2.1;4;3.9;0.2;2.8;1.1;7;2.1;51.5;83.4;1.5;4.7;0.6
Freiburg;Oliver Sorg;D;L;D(L);23;bis 26;175;77;25.14285714;overweight;32;7.31;3.4;4.1;1;0.7;3;1.1;0.1;-;-;1;0.7;0.7;1.6;1.7;-;1.4;1;1;0.7;39.3;78.2;0.3;2.3;-
Schalke;Benedikt Höwedes;D;C;D(C);25;bis 26;187;80;22.8774057;normal;32;7.14;2.4;3.2;1.2;1;4;0.8;0.5;-;-;1;0.7;0.3;0.7;1.2;-;0.4;0.4;1;0.3;50.6;84.7;0.1;3.9;-
Schalke;Joel Matip;D;C;D(C);21;bis 26;193;89;23.89325888;normal;32;7.07;2.8;3.3;1;0.9;5;0.8;0.3;-;3;-;0.4;-;0.6;1;-;0.3;0.3;-;-;47.2;82.2;-;5.6;-
Fürth;Mergim Mavraj;D;C;D(C);27;bis 30;189;84;23.51557907;normal;32;6.86;3.3;2.1;1.1;0.7;5.7;1.2;0.4;-;-;-;0.3;0.1;0.4;0.9;-;0.4;0.2;-;0.1;35.5;76.8;-;4.5;-
Mainz;Nikolce Noveski;D;C;D(C);34;bis 35;190;87;24.09972299;normal;32;7.16;2.2;2.6;1;0.9;7.2;0.7;0.6;-;2;-;0.3;0.1;0.4;0.4;0.1;0.3;0.4;-;0.1;47.2;83.2;-;6.1;-
Nürnberg;Timm Klose;D;C;D(C);25;bis 26;193;87;23.35633171;normal;32;7.08;2;2.5;1.2;1;5.9;0.9;0.9;-;2;1;0.4;0.1;0.4;1.3;0.1;0.3;0.3;1;0.1;38.9;79.3;-;5.9;-
Frankfurt;Sebastian Jung;D;R;D(R);23;bis 26;179;72;22.47120876;normal;32;6.89;2.1;2.3;0.7;0.2;2.6;0.7;0.2;-;1;1;0.8;0.8;0.4;1.1;0.1;0.8;0.5;1;0.8;42.5;78;0.9;2.1;0.1
Schalke;Joel Matip;DM;C;DM(C);21;bis 26;193;89;23.89325888;normal;32;7.07;2.8;3.3;1;0.9;5;0.8;0.3;-;3;-;0.4;-;0.6;1;-;0.3;0.3;-;-;47.2;82.2;-;5.6;-
Leverkusen;Bernd Leno;GK;;GK;21;bis 26;190;79;21.88365651;normal;32;6.83;-;-;-;-;0.5;-;-;-;-;1;-;-;-;0.1;-;-;-;1;-;17.4;61.6;-;5.3;-
Hamburg;René Adler;GK;;GK;28;bis 30;191;87;23.84803048;normal;32;6.83;-;-;0.1;-;1.2;-;-;-;-;-;-;-;0.1;0.2;-;-;-;-;-;27.6;59.2;-;8.1;-
Schalke;Benedikt Höwedes;D;L;D(L);25;bis 26;187;80;22.8774057;normal;32;7.14;2.4;3.2;1.2;1;4;0.8;0.5;-;-;1;0.7;0.3;0.7;1.2;-;0.4;0.4;1;0.3;50.6;84.7;0.1;3.9;-
Wolfsburg;Diego;AM;L;AM(L);28;bis 30;173;73;24.39105884;normal;32;7.86;1.7;1.1;1.5;-;0.3;1.8;0.1;-;10;7;2.1;2.1;4;3.9;0.2;2.8;1.1;7;2.1;51.5;83.4;1.5;4.7;0.6
Freiburg;Oliver Sorg;D;R;D(R);23;bis 26;175;77;25.14285714;overweight;32;7.31;3.4;4.1;1;0.7;3;1.1;0.1;-;-;1;0.7;0.7;1.6;1.7;-;1.4;1;1;0.7;39.3;78.2;0.3;2.3;-
Schalke;Benedikt Höwedes;D;R;D(R);25;bis 26;187;80;22.8774057;normal;32;7.14;2.4;3.2;1.2;1;4;0.8;0.5;-;-;1;0.7;0.3;0.7;1.2;-;0.4;0.4;1;0.3;50.6;84.7;0.1;3.9;-
Bremen;Kevin De Bruyne;AM;C;AM(C);22;bis 26;181;76;23.19831507;normal;33;7.58;1.5;1.1;1.6;-;0.2;1.5;-;-;10;9;2.7;2.6;3;1.2;0.1;2.5;2.2;9;2.6;46.7;76.8;2.3;5.5;0.2
Augsburg;Daniel Baier;M;C;M(C);29;bis 30;175;73;23.83673469;normal;33;7.2;2.7;3.6;1.5;-;0.8;2.2;0.1;-;2;2;1.1;1.8;1;2.6;-;1.5;0.8;2;1.8;52.2;76.4;0.7;4.1;0.2
Frankfurt;Takashi Inui;AM;L;AM(L);25;bis 26;169;59;20.65754;normal;33;7;1.9;0.9;1.2;-;0.1;1.2;0.1;-;6;5;2.6;0.8;2;0.8;1;2.5;1.1;5;0.8;28.3;84.8;0.3;1.2;0.2
Frankfurt;Bastian Oczipka;D;L;D(L);24;bis 26;184;87;25.69706994;overweight;33;7.28;2.4;1.5;0.6;0.2;1.8;0.8;0.2;-;-;8;0.4;1.9;2.2;0.8;-;1.2;0.9;8;1.9;38.4;76.4;2;1.5;-
Düsseldorf;Johannes van den Bergh;D;L;D(L);26;bis 30;183;75;22.39541342;normal;33;6.71;1.8;2.2;0.5;0.3;2.3;0.6;0.2;-;-;1;0.3;0.7;0.6;0.8;0.1;0.7;0.5;1;0.7;38.5;74.9;1;3.1;-
Freiburg;Jonathan Schmid;D;R;D(R);23;bis 26;179;77;24.03170937;normal;33;7.28;1.2;1.6;0.5;0.1;1.2;0.4;0.1;-;11;4;1.8;1.2;1.5;1.8;0.2;2;0.8;4;1.2;28.3;78.6;0.9;1;0.2
Frankfurt;Sebastian Rode;DM;C;DM(C);22;bis 26;179;67;20.91070816;normal;33;7.18;3.3;2.5;2;-;0.9;1.4;0.3;-;-;1;1;1;1.5;2.1;0.1;1;0.8;1;1;53.5;84.4;0.2;5.4;0.2
Freiburg;Jonathan Schmid;M;R;M(R);23;bis 26;179;77;24.03170937;normal;33;7.28;1.2;1.6;0.5;0.1;1.2;0.4;0.1;-;11;4;1.8;1.2;1.5;1.8;0.2;2;0.8;4;1.2;28.3;78.6;0.9;1;0.2
Bremen;Kevin De Bruyne;AM;L;AM(L);22;bis 26;181;76;23.19831507;normal;33;7.58;1.5;1.1;1.6;-;0.2;1.5;-;-;10;9;2.7;2.6;3;1.2;0.1;2.5;2.2;9;2.6;46.7;76.8;2.3;5.5;0.2
Augsburg;Daniel Baier;M;R;M(R);29;bis 30;175;73;23.83673469;normal;33;7.2;2.7;3.6;1.5;-;0.8;2.2;0.1;-;2;2;1.1;1.8;1;2.6;-;1.5;0.8;2;1.8;52.2;76.4;0.7;4.1;0.2
Leverkusen;Andre Schürrle;AM;C;AM(C);22;bis 26;184;74;21.85727788;normal;34;7.62;1.1;1.3;0.7;-;-;1.1;-;-;11;7;3.6;1.2;3.2;1.7;0.9;2.1;1.9;7;1.2;27.1;78.8;0.5;1.1;0.2
Hamburg;Heiko Westermann;D;C;D(C);29;bis 30;190;87;24.09972299;normal;34;7.44;2.6;3.7;0.9;1.1;7.3;1;0.7;-;3;2;0.7;0.4;0.5;1.3;0.1;0.6;0.4;2;0.4;62.9;81.8;0.1;7.3;-
Stuttgart;Christian Gentner;M;C;M(C);27;bis 30;189;81;22.67573696;normal;34;7.09;3.1;2.5;1.9;-;1.1;2.1;0.2;-;5;1;1.3;1.4;0.7;1.6;0.1;1.1;0.8;1;1.4;44;78.2;0.6;3.7;0.1
Leverkusen;Andre Schürrle;AM;C;AM(C);22;bis 26;184;74;21.85727788;normal;34;7.62;1.1;1.3;0.7;-;-;1.1;-;-;11;7;3.6;1.2;3.2;1.7;0.9;2.1;1.9;7;1.2;27.1;78.8;0.5;1.1;0.2
Hamburg;Heiko Westermann;D;C;D(C);29;bis 30;190;87;24.09972299;normal;34;7.44;2.6;3.7;0.9;1.1;7.3;1;0.7;-;3;2;0.7;0.4;0.5;1.3;0.1;0.6;0.4;2;0.4;62.9;81.8;0.1;7.3;-
Frankfurt;Stefan Aigner;AM;R;AM(R);25;bis 26;185;72;21.03725347;normal;34;6.81;1.2;1;1.2;0.1;0.6;0.9;0.1;-;9;7;1.1;1.1;0.7;2.2;0.8;1.9;1.1;7;1.1;25.5;72.3;0.5;0.4;0.1
Nürnberg;Timmy Simons;DM;C;DM(C);36;älter als 36;186;78;22.54595907;normal;34;6.77;2.7;1.8;1.5;0.1;2.7;1.6;0.4;-;5;-;0.5;0.2;0.2;0.6;-;0.4;0.4;-;0.2;34;80.7;-;2.8;-
Hamburg;Heiko Westermann;DM;C;DM(C);29;bis 30;190;87;24.09972299;normal;34;7.44;2.6;3.7;0.9;1.1;7.3;1;0.7;-;3;2;0.7;0.4;0.5;1.3;0.1;0.6;0.4;2;0.4;62.9;81.8;0.1;7.3;-
Leverkusen;Stefan Kießling;FW;;FW;29;bis 30;191;80;21.92922343;normal;34;8;1.1;0.6;2.6;-;0.9;0.9;0.1;-;25;7;3.6;2;1.5;3.2;1.1;2.4;2.2;7;2;26.9;65.8;0.2;0.7;0.1
Leverkusen;Andre Schürrle;FW;;FW;22;bis 26;184;74;21.85727788;normal;34;7.62;1.1;1.3;0.7;-;-;1.1;-;-;11;7;3.6;1.2;3.2;1.7;0.9;2.1;1.9;7;1.2;27.1;78.8;0.5;1.1;0.2
Wolfsburg;Diego Benaglio;GK;;GK;29;bis 30;194;89;23.64757147;normal;34;6.74;0.1;-;-;-;0.9;0.1;-;-;-;-;-;-;0.1;0.3;-;-;-;-;-;20;67.4;-;6.4;-
Düsseldorf;Fabian Giefer;GK;;GK;23;bis 26;196;93;24.20866306;normal;34;6.8;0.1;-;0.1;-;1.1;-;-;-;-;-;-;-;-;0.4;-;-;-;-;-;19.4;55.5;-;6.1;-
Gladbach;Marc-André ter Stegen;GK;;GK;21;bis 26;189;85;23.79552644;normal;34;6.93;-;-;-;-;1.4;0.1;-;-;-;-;-;0.1;0.1;0.3;-;-;-;-;0.1;31.3;63;-;8.1;-
Freiburg;Oliver Baumann;GK;;GK;23;bis 26;187;80;22.8774057;normal;34;6.88;0.1;-;-;-;1.5;0.2;-;-;-;-;-;-;-;0.4;-;-;-;-;-;27.2;60.2;-;9;-
Hannover;Ron-Robert Zieler;GK;;GK;24;bis 26;188;83;23.48347669;normal;34;6.93;-;-;-;-;1.3;0.1;-;-;-;-;-;-;-;0.4;-;-;-;-;-;23.4;55.5;-;7.3;-
Bremen;Sebastian Mielitz;GK;;GK;24;bis 26;188;83;23.48347669;normal;34;6.42;-;-;-;-;0.6;0.1;-;-;-;-;-;-;-;0.1;-;-;0.1;-;-;18.6;69.7;-;4.9;-
Stuttgart;Sven Ulreich;GK;;GK;24;bis 26;192;84;22.78645833;normal;34;6.71;-;-;-;-;0.6;0.1;-;1;-;-;-;-;-;0.3;-;-;-;-;-;22.7;57.3;-;6.8;-
Leverkusen;Andre Schürrle;AM;L;AM(L);22;bis 26;184;74;21.85727788;normal;34;7.62;1.1;1.3;0.7;-;-;1.1;-;-;11;7;3.6;1.2;3.2;1.7;0.9;2.1;1.9;7;1.2;27.1;78.8;0.5;1.1;0.2
Hamburg;Heiko Westermann;D;L;D(L);29;bis 30;190;87;24.09972299;normal;34;7.44;2.6;3.7;0.9;1.1;7.3;1;0.7;-;3;2;0.7;0.4;0.5;1.3;0.1;0.6;0.4;2;0.4;62.9;81.8;0.1;7.3;-
Stuttgart;Christian Gentner;M;L;M(L);27;bis 30;189;81;22.67573696;normal;34;7.09;3.1;2.5;1.9;-;1.1;2.1;0.2;-;5;1;1.3;1.4;0.7;1.6;0.1;1.1;0.8;1;1.4;44;78.2;0.6;3.7;0.1
Leverkusen;Andre Schürrle;AM;R;AM(R);22;bis 26;184;74;21.85727788;normal;34;7.62;1.1;1.3;0.7;-;-;1.1;-;-;11;7;3.6;1.2;3.2;1.7;0.9;2.1;1.9;7;1.2;27.1;78.8;0.5;1.1;0.2
Hamburg;Heiko Westermann;D;R;D(R);29;bis 30;190;87;24.09972299;normal;34;7.44;2.6;3.7;0.9;1.1;7.3;1;0.7;-;3;2;0.7;0.4;0.5;1.3;0.1;0.6;0.4;2;0.4;62.9;81.8;0.1;7.3;-
Hannover;Ali Gökdemir;D;;D;21;bis 26;184;82;24.22022684;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Düsseldorf;Bruno Soares;D;;D;24;bis 26;194;85;22.58475927;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Leverkusen;Carlinhos;D;;D;19;bis 20;179;81;25.28010986;overweight;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Düsseldorf;Cristian Ramirez;D;;D;18;bis 20;173;74;24.72518293;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schalke;Dennis Erdmann;D;;D;22;bis 26;188;87;24.6152105;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Düsseldorf;Evans Nyarko;D;;D;21;bis 26;182;77;23.24598478;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hamburg;Janek Sternberg;D;;D;20;bis 20;181;78;23.80879705;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hannover;Jannik Löhden;D;;D;24;bis 26;201;97;24.0093067;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hoffenheim;Jeremy Toljan;D;;D;18;bis 20;182;74;22.34029707;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schalke;Kaan Ayhan;D;;D;18;bis 20;184;81;23.92485822;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dortmund;Koray Günter;D;;D;18;bis 20;184;79;23.33412098;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dortmund;Marcel Halstenberg;D;;D;21;bis 26;186;82;23.7021621;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Augsburg;Matthias Strohmaier;D;;D;19;bis 20;184;81;23.92485822;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Wolfsburg;Michael Schulze;D;;D;24;bis 26;185;78;22.79035793;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stuttgart;Michael Vitzthum;D;;D;21;bis 26;185;73;21.32943755;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hannover;Niko Gießelmann;D;;D;21;bis 26;181;73;22.28259211;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Vladimir Rankovic;D;;D;20;bis 20;172;65;21.97133586;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hoffenheim;Chris;D;C;D(C);34;bis 35;185;78;22.79035793;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dortmund;Chris Löwe;D;L;D(L);24;bis 26;175;68;22.20408163;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bremen;Florian Hartherz;D;L;D(L);20;bis 20;187;82;23.44934084;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schalke;Sergio Escudero;D;L;D(L);23;bis 26;176;65;20.9839876;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hoffenheim;Afriyie Acquah;DM;C;DM(C);21;bis 26;179;70;21.84700852;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hoffenheim;Chris;DM;C;DM(C);34;bis 35;185;78;22.79035793;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mainz;Anthony Ujah;FW;;FW;22;bis 26;179;81;25.28010986;overweight;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stuttgart;Christoph Hemlein;FW;;FW;22;bis 26;180;77;23.7654321;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bremen;Max Wegner;FW;;FW;24;bis 26;178;78;24.61810377;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Patrick Weihrauch;FW;;FW;19;bis 20;181;73;22.28259211;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nürnberg;Roussel Ngankam;FW;;FW;19;bis 20;178;72;22.72440348;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fürth;Stefan Lex;FW;;FW;23;bis 26;178;74;23.35563691;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Freiburg;Alexander Schwolow;GK;;GK;21;bis 26;189;83;23.2356317;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nürnberg;Alexander Stephan;GK;;GK;26;bis 30;189;84;23.51557907;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stuttgart;André Weis;GK;;GK;23;bis 26;189;86;24.07547381;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nürnberg;Benjamin Uphoff;GK;;GK;19;bis 20;190;78;21.6066482;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Mainz;Christian Mathenia;GK;;GK;21;bis 26;189;75;20.99605274;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bremen;Christian Vander;GK;;GK;32;bis 35;195;90;23.66863905;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Freiburg;Daniel Batz;GK;;GK;22;bis 26;189;84;23.51557907;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Leverkusen;David Yelldell;GK;;GK;31;bis 35;194;88;23.38186842;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Augsburg;Ioannis Gelios;GK;;GK;21;bis 26;190;76;21.05263158;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gladbach;Janis Blaswich;GK;;GK;22;bis 26;193;88;23.6247953;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hoffenheim;Jens Grahl;GK;;GK;24;bis 26;193;93;24.96711321;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stuttgart;Marc Ziegler;GK;;GK;37;älter als 36;193;92;24.69864963;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hannover;Markus Miller;GK;;GK;31;bis 35;189;92;25.75515803;overweight;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Wolfsburg;Marwin Hitz;GK;;GK;25;bis 26;192;88;23.87152778;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nürnberg;Max Nawe;GK;;GK;18;bis 20;187;80;22.8774057;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Düsseldorf;Nikolaos Papadopoulos;GK;;GK;23;bis 26;190;82;22.71468144;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schalke;Ralf Fährmann;GK;;GK;24;bis 26;196;93;24.20866306;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bremen;Raphael Wolf;GK;;GK;25;bis 26;190;86;23.82271468;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bremen;Richard Strebinger;GK;;GK;20;bis 20;194;90;23.91327452;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hamburg;Sven Neuhaus;GK;;GK;35;bis 35;192;90;24.4140625;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fürth;Tom Mickel;GK;;GK;24;bis 26;185;83;24.25127831;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hamburg;Tom Mickel;GK;;GK;24;bis 26;185;83;24.25127831;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dortmund;Zlatan Alomerovic;GK;;GK;22;bis 26;187;88;25.16514627;overweight;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Düsseldorf;Bastian Müller;M;;M;21;bis 26;185;75;21.9138057;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hamburg;Christian Nørgaard;M;;M;19;bis 20;185;75;21.9138057;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Augsburg;Dawda Bah;M;;M;29;bis 30;185;74;21.62162162;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hoffenheim;Filip Malbasic;M;;M;20;bis 20;182;81;24.45356841;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Freiburg;Hendrick Zuck;M;;M;23;bis 26;176;64;20.66115702;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gladbach;Julian Korb;M;;M;21;bis 26;177;69;22.02432251;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stuttgart;Kevin Stöger;M;;M;19;bis 20;175;70;22.85714286;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schalke;Manuel Torres;M;;M;22;bis 26;175;65;21.2244898;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dortmund;Marvin Bakalorz;M;;M;23;bis 26;180;76;23.45679012;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bayern;Mitchell Weiser;M;;M;19;bis 20;176;67;21.62964876;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Gladbach;Nico Brandenburger;M;;M;18;bis 20;179;77;24.03170937;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nürnberg;Philipp Klement;M;;M;20;bis 20;174;71;23.45091822;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Stuttgart;Rani Khedira;M;;M;19;bis 20;188;83;23.48347669;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nürnberg;Sebastian Gärtner;M;;M;20;bis 20;177;76;24.25867407;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hamburg;Valmir Nafiu;M;;M;19;bis 20;175;71;23.18367347;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schalke;Vasileios Pliatsikas;M;C;M(C);25;bis 26;174;73;24.11150746;normal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schalke;Edu;AM;L;AM(L);31;bis 35;185;88;25.71219869;overweight;0(1);5.9;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;4;50;-;-;-
Mainz;Benedikt Saller;D;;D;20;bis 20;180;70;21.60493827;normal;0(1);6.4;-;1;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;1;12;83.3;-;1;-
Fürth;Michael Hefele;D;;D;22;bis 26;192;87;23.60026042;normal;0(1);6.21;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;57.1;-;1;-
Hoffenheim;Patrick Schorr;D;;D;18;bis 20;183;75;22.39541342;normal;0(1);6.08;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;7;42.9;1;1;-
Hoffenheim;Robin Szarka;D;;D;21;bis 26;176;67;21.62964876;normal;0(1);6.57;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;16;81.3;-;-;-
Wolfsburg;Felipe Lopes;D;C;D(C);25;bis 26;188;79;22.35174287;normal;0(1);6.42;1;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;83.3;-;-;-
Dortmund;Balint Bajner;FW;;FW;22;bis 26;194;90;23.91327452;normal;0(1);6.15;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;7;57.1;-;-;-
Mainz;Petar Sliskovic;FW;;FW;22;bis 26;193;88;23.6247953;normal;0(1);6.47;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;9;66.7;-;1;-
Schalke;Edu;FW;;FW;31;bis 35;185;88;25.71219869;overweight;0(1);5.9;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;4;50;-;-;-
Frankfurt;Aykut Özer;GK;;GK;20;bis 20;189;80;22.39578959;normal;0(1);6.11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;66.7;-;1;-
Gladbach;Christofer Heimeroth;GK;;GK;31;bis 35;194;91;24.17897757;normal;0(1);6.08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;100;-;1;-
